Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,375.7016,375.7016,3000,0.1000,0.1252,0.0500,10000
2,375.7016,722.3938,346.6922,3000,0.1050,0.1156,0.0500,10000
3,722.3938,1132.6046,410.2107,3000,0.1103,0.1367,0.0500,10000
4,1132.6046,1562.1710,429.5665,3000,0.1158,0.1432,0.0500,10000
5,1562.1710,1965.6131,403.4420,3000,0.1216,0.1345,0.0500,10000
6,1965.6131,2418.2616,452.6485,3000,0.1276,0.1509,0.0500,10000
7,2418.2616,2880.0307,461.7690,3000,0.1340,0.1539,0.0500,10000
8,2880.0307,3371.9943,491.9636,3000,0.1407,0.1640,0.0500,10000
9,3371.9943,3875.4705,503.4762,3000,0.1477,0.1678,0.0500,10000
10,3875.4705,4426.2806,550.8101,3000,0.1551,0.1836,0.0500,10000
11,4426.2806,5006.2080,579.9274,3000,0.1629,0.1933,0.0500,10000
12,5006.2080,5610.8262,604.6182,3000,0.1710,0.2015,0.0500,10000
13,5610.8262,6254.1835,643.3574,3000,0.1796,0.2145,0.0500,10000
14,6254.1835,6935.2442,681.0607,3000,0.1886,0.2270,0.0500,10000
15,6935.2442,7667.1083,731.8641,3000,0.1980,0.2440,0.0500,10000
16,7667.1083,8440.6839,773.5756,3000,0.2079,0.2579,0.0500,10000
17,8440.6839,9222.6087,781.9248,3000,0.2183,0.2606,0.0500,10000
18,9222.6087,10072.6203,850.0115,3000,0.2292,0.2833,0.0500,10000
19,10072.6203,10904.6058,831.9856,3000,0.2407,0.2773,0.0500,10000
20,10904.6058,11762.5550,857.9491,3000,0.2527,0.2860,0.0500,10000
21,11762.5550,12745.7692,983.2143,3000,0.2653,0.3277,0.0500,10000
22,12745.7692,13740.5256,994.7564,3000,0.2786,0.3316,0.0500,10000
23,13740.5256,14810.5159,1069.9903,3000,0.2925,0.3567,0.0500,10000
24,14810.5159,15894.1167,1083.6009,3000,0.3072,0.3612,0.0500,10000
25,15894.1167,17087.0753,1192.9585,3000,0.3225,0.3977,0.0500,10000
26,17087.0753,18271.8984,1184.8231,3000,0.3386,0.3949,0.0500,10000
27,18271.8984,19528.0128,1256.1144,3000,0.3556,0.4187,0.0500,10000
28,19528.0128,20900.7942,1372.7814,3000,0.3733,0.4576,0.0500,10000
29,20900.7942,22300.1335,1399.3393,3000,0.3920,0.4664,0.0500,10000
30,22300.1335,23800.0063,1499.8728,3000,0.4116,0.5000,0.0500,10000
31,23800.0063,25252.2201,1452.2138,3000,0.4322,0.4841,0.0500,10000
32,25252.2201,26674.5346,1422.3144,3000,0.4538,0.4741,0.0500,10000
33,26674.5346,28386.9798,1712.4453,3000,0.4765,0.5708,0.0500,10000
34,28386.9798,30122.3916,1735.4117,3000,0.5003,0.5785,0.0500,10000
35,30122.3916,32040.4179,1918.0264,3000,0.5253,0.6393,0.0500,10000
36,32040.4179,34034.2314,1993.8135,3000,0.5516,0.6646,0.0500,10000
37,34034.2314,36174.1563,2139.9249,3000,0.5792,0.7133,0.0500,10000
