Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,12623.7004,12623.7004,2000,5.0000,6.3119,0.0500,20
2,12623.7004,26048.5600,13424.8596,2000,5.2500,6.7124,0.0500,20
3,26048.5600,38816.8241,12768.2641,2000,5.5125,6.3841,0.0500,20
4,38816.8241,51456.7528,12639.9287,2000,6.0928,6.3200,0.0500,19
5,51456.7528,63702.6362,12245.8834,2000,6.3974,6.1229,0.0500,19
6,63702.6362,77987.6896,14285.0535,2000,7.0905,7.1425,0.0500,18
7,77987.6896,92070.4344,14082.7447,2000,7.0531,7.0414,0.0500,19
8,92070.4344,106719.8025,14649.3681,2000,7.4058,7.3247,0.0500,19
9,106719.8025,122174.6244,15454.8219,2000,7.7761,7.7274,0.0500,19
10,122174.6244,139131.5884,16956.9640,2000,8.6185,8.4785,0.0500,18
11,139131.5884,155990.2030,16858.6147,2000,8.5731,8.4293,0.0500,19
12,155990.2030,174773.0652,18782.8622,2000,9.5019,9.3914,0.0500,18
13,174773.0652,193707.8888,18934.8236,2000,9.4519,9.4674,0.0500,19
14,193707.8888,213137.0250,19429.1362,2000,9.9245,9.7146,0.0294,19
15,213137.0250,233352.5801,20215.5550,2000,10.2161,10.1078,-0.0107,19
16,233352.5801,253942.9113,20590.3312,2000,10.1071,10.2952,-0.0287,19
17,253942.9113,273451.0302,19508.1189,2000,9.8174,9.7541,0.0252,19
18,273451.0302,293023.2905,19572.2603,2000,10.0649,9.7861,0.0219,19
19,293023.2905,313758.9019,20735.6114,2000,10.2849,10.3678,-0.0355,19
20,313758.9019,335404.7082,21645.8063,2000,10.4711,10.8229,-0.0500,18
21,335404.7082,355547.1510,20142.4428,2000,9.9476,10.0712,-0.0071,18
22,355547.1510,375373.9054,19826.7544,2000,9.8772,9.9134,0.0087,18
23,375373.9054,393945.0932,18571.1877,2000,9.4391,9.2856,0.0500,19
24,393945.0932,414417.9252,20472.8320,2000,9.9111,10.2364,-0.0231,19
25,414417.9252,433482.1448,19064.2197,2000,9.6822,9.5321,0.0491,19
26,433482.1448,453805.0796,20322.9348,2000,10.1574,10.1615,-0.0159,19
27,453805.0796,473503.1458,19698.0662,2000,9.4962,9.8490,0.0153,20
28,473503.1458,493145.0394,19641.8937,2000,9.6418,9.8209,0.0182,20
29,493145.0394,511733.4635,18588.4241,2000,9.3501,9.2942,0.0500,21
30,511733.4635,531489.6597,19756.1962,2000,9.8176,9.8781,0.0123,21
31,531489.6597,550876.2383,19386.5786,2000,9.9387,9.6933,0.0316,21
32,550876.2383,571293.2495,20417.0111,2000,10.2532,10.2085,-0.0204,21
33,571293.2495,590327.3718,19034.1223,2000,9.5872,9.5171,0.0500,22
34,590327.3718,610842.8352,20515.4634,2000,10.0666,10.2577,-0.0251,22
35,610842.8352,630325.4163,19482.5811,2000,9.8137,9.7413,0.0266,22
36,630325.4163,649899.6924,19574.2761,2000,10.0743,9.7871,0.0217,22
37,649899.6924,670716.7022,20817.0098,2000,10.2934,10.4085,-0.0392,22
38,670716.7022,692500.4908,21783.7886,2000,10.3604,10.8919,-0.0500,21
39,692500.4908,712303.7672,19803.2764,2000,9.8423,9.9016,0.0099,21
40,712303.7672,734153.9386,21850.1714,2000,10.4371,10.9251,-0.0500,20
41,734153.9386,754510.2355,20356.2969,2000,9.9153,10.1781,-0.0175,20
42,754510.2355,774127.7788,19617.5433,2000,9.7417,9.8088,0.0195,20
43,774127.7788,794165.5194,20037.7406,2000,9.9316,10.0189,-0.0019,20
44,794165.5194,814443.3567,20277.8373,2000,9.9129,10.1389,-0.0137,20
45,814443.3567,834217.1854,19773.8287,2000,9.7771,9.8869,0.0114,20
46,834217.1854,854989.8972,20772.7118,2000,10.4094,10.3864,-0.0372,19
47,854989.8972,874375.1845,19385.2873,2000,9.5211,9.6926,0.0317,20
48,874375.1845,894603.2122,20228.0277,2000,10.3400,10.1140,-0.0113,19
49,894603.2122,914834.2066,20230.9944,2000,10.2234,10.1155,-0.0114,19
50,914834.2066,937164.7570,22330.5503,2000,10.6682,11.1653,-0.0500,18
51,937164.7570,956208.1406,19043.3836,2000,9.6014,9.5217,0.0500,19
52,956208.1406,977180.1056,20971.9650,2000,10.6415,10.4860,-0.0463,18
53,977180.1056,997422.8662,20242.7606,2000,10.1483,10.1214,-0.0120,18
54,997422.8662,1019201.4136,21778.5474,2000,10.6164,10.8893,-0.0500,17
55,1019201.4136,1038998.7255,19797.3119,2000,9.5253,9.8987,0.0102,18
56,1038998.7255,1058283.8731,19285.1476,2000,9.6228,9.6426,0.0371,18
57,1058283.8731,1077188.9972,18905.1241,2000,9.9795,9.4526,0.0500,18
58,1077188.9972,1098462.8810,21273.8838,2000,11.0949,10.6369,-0.0500,17
59,1098462.8810,1119677.3243,21214.4433,2000,10.5401,10.6072,-0.0500,17
60,1119677.3243,1139652.1802,19974.8558,2000,10.0131,9.9874,0.0013,17
61,1139652.1802,1158751.2539,19099.0737,2000,9.4687,9.5495,0.0472,18
62,1158751.2539,1177949.0261,19197.7722,2000,9.9154,9.5989,0.0418,18
63,1177949.0261,1197398.1251,19449.0990,2000,9.7861,9.7245,0.0283,19
64,1197398.1251,1217980.3132,20582.1881,2000,10.0633,10.2911,-0.0283,19
65,1217980.3132,1236927.6701,18947.3569,2000,9.2897,9.4737,0.0500,20
66,1236927.6701,1257415.2194,20487.5493,2000,10.2675,10.2438,-0.0238,19
67,1257415.2194,1276893.9854,19478.7660,2000,10.0232,9.7394,0.0268,19
68,1276893.9854,1298271.0879,21377.1025,2000,10.8631,10.6886,-0.0500,18
69,1298271.0879,1318816.6624,20545.5745,2000,10.3200,10.2728,-0.0266,18
70,1318816.6624,1339771.4299,20954.7675,2000,10.6369,10.4774,-0.0456,17
71,1339771.4299,1358169.7073,18398.2773,2000,9.5882,9.1991,0.0500,18
72,1358169.7073,1378362.3715,20192.6642,2000,10.0676,10.0963,-0.0095,18
73,1378362.3715,1397750.8489,19388.4775,2000,9.4468,9.6942,0.0315,19
74,1397750.8489,1417503.2251,19752.3762,2000,9.7447,9.8762,0.0125,19
75,1417503.2251,1436105.1920,18601.9669,2000,9.3735,9.3010,0.0500,20
76,1436105.1920,1456541.4238,20436.2318,2000,10.3602,10.2181,-0.0213,19
77,1456541.4238,1475771.6762,19230.2524,2000,9.6321,9.6151,0.0400,20
78,1475771.6762,1496372.0770,20600.4008,2000,10.0177,10.3002,-0.0291,20
79,1496372.0770,1509739.3763,13367.2993,2000,4.3225,6.6836,0.0500,45
80,1509739.3763,1518518.9875,8779.6112,2000,4.5387,4.3898,0.0500,45
81,1518518.9875,1527952.5993,9433.6118,2000,4.7656,4.7168,0.0500,45
82,1527952.5993,1538246.2940,10293.6947,2000,5.1176,5.1468,0.0500,44
83,1538246.2940,1548897.1096,10650.8156,2000,5.2541,5.3254,0.0500,45
84,1548897.1096,1560116.3089,11219.1992,2000,5.6422,5.6096,0.0500,44
85,1560116.3089,1572225.3232,12109.0143,2000,5.9243,6.0545,0.0500,44
86,1572225.3232,1584996.8146,12771.4914,2000,6.2205,6.3857,0.0500,44
87,1584996.8146,1597968.7594,12971.9448,2000,6.3864,6.4860,0.0500,45
88,1597968.7594,1611486.4998,13517.7403,2000,6.7057,6.7589,0.0500,45
89,1611486.4998,1625759.5415,14273.0417,2000,7.0410,7.1365,0.0500,45
90,1625759.5415,1640444.0615,14684.5200,2000,7.3930,7.3423,0.0500,45
91,1640444.0615,1656102.4480,15658.3865,2000,7.7627,7.8292,0.0500,45
92,1656102.4480,1672561.4333,16458.9853,2000,8.1508,8.2295,0.0500,45
93,1672561.4333,1690141.5050,17580.0718,2000,8.5583,8.7900,0.0500,45
94,1690141.5050,1707729.2650,17587.7600,2000,9.1905,8.7939,0.0500,44
95,1707729.2650,1726209.9690,18480.7040,2000,9.4356,9.2404,0.0500,45
96,1726209.9690,1746735.0098,20525.0408,2000,10.1325,10.2625,-0.0256,44
97,1746735.0098,1766441.8124,19706.8026,2000,9.8733,9.8534,0.0149,44
98,1766441.8124,1787623.8237,21182.0113,2000,10.2532,10.5910,-0.0500,43
99,1787623.8237,1806604.7050,18980.8814,2000,9.5192,9.4904,0.0500,44
100,1806604.7050,1827349.9699,20745.2649,2000,10.2276,10.3726,-0.0359,43
101,1827349.9699,1846679.5279,19329.5580,2000,9.6361,9.6648,0.0347,44
102,1846679.5279,1867498.0518,20818.5239,2000,10.2022,10.4093,-0.0393,43
103,1867498.0518,1886438.6836,18940.6318,2000,9.8010,9.4703,0.0500,43
104,1886438.6836,1906952.6710,20513.9874,2000,10.2911,10.2570,-0.0251,43
105,1906952.6710,1927268.4570,20315.7860,2000,9.8052,10.1579,-0.0155,44
106,1927268.4570,1946205.7696,18937.3126,2000,9.6528,9.4687,0.0500,44
107,1946205.7696,1965516.6373,19310.8677,2000,9.9102,9.6554,0.0357,45
108,1965516.6373,1986335.3507,20818.7134,2000,10.2639,10.4094,-0.0393,45
109,1986335.3507,2005505.7182,19170.3674,2000,9.6459,9.5852,0.0433,46
110,2005505.7182,2026199.1409,20693.4227,2000,10.0633,10.3467,-0.0335,46
111,2026199.1409,2045115.8648,18916.7239,2000,9.5192,9.4584,0.0500,47
112,2045115.8648,2065612.9133,20497.0485,2000,10.2124,10.2485,-0.0242,46
113,2065612.9133,2085189.7585,19576.8452,2000,9.7528,9.7884,0.0216,47
114,2085189.7585,2104488.4447,19298.6862,2000,9.9636,9.6493,0.0363,47
115,2104488.4447,2124826.7018,20338.2571,2000,10.3256,10.1691,-0.0166,47
