Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
608,16163347.7907,16192671.8177,29324.0270,3000,8.1618,9.7747,0.0231,2010
609,16192671.8177,16222432.1560,29760.3383,3000,8.3458,9.9201,0.0081,2011
610,16222432.1560,16252810.6591,30378.5031,3000,8.4172,10.1262,-0.0125,2010
611,16252810.6591,16284037.6959,31227.0368,3000,8.3123,10.4090,-0.0393,2010
612,16284037.6959,16311853.7418,27816.0459,3000,7.9897,9.2720,0.0500,2009
613,16311853.7418,16341547.2358,29693.4940,3000,8.3850,9.8978,0.0103,2010
614,16341547.2358,16370536.2742,28989.0384,3000,8.4758,9.6630,0.0349,2009
615,16370536.2742,16403757.7228,33221.4486,3000,8.7713,11.0738,-0.0500,2009
616,16403757.7228,16433879.9474,30122.2247,3000,8.3328,10.0407,-0.0041,2009
617,16433879.9474,16463866.5134,29986.5660,3000,8.2990,9.9955,0.0004,2009
618,16463866.5134,16493246.1356,29379.6222,3000,8.3068,9.7932,0.0211,2008
619,16493246.1356,16524593.1438,31347.0081,3000,8.4780,10.4490,-0.0430,2009
620,16524593.1438,16553776.7366,29183.5929,3000,8.1137,9.7279,0.0280,2009
621,16553776.7366,16582178.4632,28401.7266,3000,8.3365,9.4672,0.0500,2010
622,16582178.4632,16610798.0913,28619.6281,3000,8.7533,9.5399,0.0482,2010
623,16610798.0913,16644490.7252,33692.6339,3000,9.1755,11.2309,-0.0500,2010
624,16644490.7252,16674597.8205,30107.0952,3000,8.7168,10.0357,-0.0036,2010
625,16674597.8205,16704102.3160,29504.4955,3000,8.6857,9.8348,0.0168,2010
626,16704102.3160,16734180.0340,30077.7181,3000,8.8316,10.0259,-0.0026,2010
627,16734180.0340,16766204.5094,32024.4754,3000,8.8044,10.6748,-0.0500,2011
628,16766204.5094,16794529.6407,28325.1312,3000,8.3642,9.4417,0.0500,2011
629,16794529.6407,16825763.5572,31233.9165,3000,8.7824,10.4113,-0.0395,2011
630,16825763.5572,16856026.7911,30263.2339,3000,8.4355,10.0877,-0.0087,2011
631,16856026.7911,16884275.1147,28248.3236,3000,8.3621,9.4161,0.0500,2011
632,16884275.1147,16914343.2087,30068.0940,3000,8.7802,10.0227,-0.0023,2011
633,16914343.2087,16944979.5656,30636.3569,3000,8.7603,10.2121,-0.0208,2011
634,16944979.5656,16976451.2177,31471.6521,3000,8.5826,10.4906,-0.0468,2010
635,16976451.2177,17005240.3942,28789.1765,3000,8.1813,9.5964,0.0421,2010
636,17005240.3942,17036645.1903,31404.7961,3000,8.5296,10.4683,-0.0447,2009
637,17036645.1903,17064665.4545,28020.2642,3000,8.1481,9.3401,0.0500,2009
638,17064665.4545,17095675.5607,31010.1062,3000,8.5555,10.3367,-0.0326,2009
639,17095675.5607,17124796.3421,29120.7814,3000,8.2727,9.7069,0.0302,2010
640,17124796.3421,17154392.3152,29595.9731,3000,8.5267,9.8653,0.0137,2009
641,17154392.3152,17185784.2638,31391.9486,3000,8.6431,10.4640,-0.0443,2009
642,17185784.2638,17215233.6733,29449.4095,3000,8.2639,9.8165,0.0187,2008
643,17215233.6733,17244676.0200,29442.3467,3000,8.4143,9.8141,0.0189,2009
644,17244676.0200,17276060.4622,31384.4422,3000,8.5779,10.4615,-0.0441,2008
645,17276060.4622,17305063.0985,29002.6362,3000,8.1995,9.6675,0.0344,2008
646,17305063.0985,17334010.5673,28947.4689,3000,8.4815,9.6492,0.0364,2008
647,17334010.5673,17365902.9870,31892.4197,3000,8.7855,10.6308,-0.0500,2009
648,17365902.9870,17395996.4963,30093.5092,3000,8.3504,10.0312,-0.0031,2008
649,17395996.4963,17425449.3193,29452.8231,3000,8.3244,9.8176,0.0186,2008
650,17425449.3193,17456339.9488,30890.6295,3000,8.4833,10.2969,-0.0288,2007
651,17456339.9488,17483690.2197,27350.2709,3000,8.2346,9.1168,0.0500,2008
652,17483690.2197,17513691.5789,30001.3592,3000,8.6463,10.0005,-0.0000,2008
653,17513691.5789,17543338.9900,29647.4111,3000,8.6460,9.8825,0.0119,2008
654,17543338.9900,17576737.2993,33398.3093,3000,8.7488,11.1328,-0.0500,2008
655,17576737.2993,17607156.9716,30419.6723,3000,8.3113,10.1399,-0.0138,2008
656,17607156.9716,17637219.3230,30062.3513,3000,8.1967,10.0208,-0.0021,2008
657,17637219.3230,17665750.0687,28530.7457,3000,8.1797,9.5102,0.0500,2008
658,17665750.0687,17696716.8506,30966.7819,3000,8.5887,10.3223,-0.0312,2008
659,17696716.8506,17724026.8728,27310.0222,3000,8.3164,9.1033,0.0500,2009
660,17724026.8728,17755055.3041,31028.4314,3000,8.7365,10.3428,-0.0331,2008
661,17755055.3041,17784215.9687,29160.6646,3000,8.4428,9.7202,0.0288,2009
662,17784215.9687,17816261.5556,32045.5868,3000,8.6901,10.6819,-0.0500,2008
663,17816261.5556,17846126.0435,29864.4880,3000,8.2556,9.9548,0.0045,2008
664,17846126.0435,17873811.7212,27685.6777,3000,8.2931,9.2286,0.0500,2008
665,17873811.7212,17904674.7992,30863.0780,3000,8.7034,10.2877,-0.0280,2009
666,17904674.7992,17936178.1531,31503.3539,3000,8.4642,10.5011,-0.0477,2008
667,17936178.1531,17963194.0186,27015.8655,3000,8.0563,9.0053,0.0500,2009
668,17963194.0186,17993316.4903,30122.4717,3000,8.4591,10.0408,-0.0041,2009
669,17993316.4903,18023333.9024,30017.4121,3000,8.4247,10.0058,-0.0006,2009
670,18023333.9024,18052055.8614,28721.9590,3000,8.4240,9.5740,0.0445,2008
671,18052055.8614,18082713.9252,30658.0637,3000,8.7945,10.2194,-0.0215,2009
672,18082713.9252,18113618.2555,30904.3304,3000,8.6100,10.3014,-0.0293,2008
673,18113618.2555,18142397.2127,28778.9572,3000,8.3539,9.5930,0.0424,2009
674,18142397.2127,18173435.2154,31038.0026,3000,8.7083,10.3460,-0.0334,2009
675,18173435.2154,18204380.4906,30945.2752,3000,8.4129,10.3151,-0.0305,2010
676,18204380.4906,18233711.3519,29330.8613,3000,8.1600,9.7770,0.0228,2009
677,18233711.3519,18262875.0360,29163.6841,3000,8.3420,9.7212,0.0287,2010
678,18262875.0360,18295096.1181,32221.0821,3000,8.5855,10.7404,-0.0500,2009
679,18295096.1181,18323444.7068,28348.5887,3000,8.1562,9.4495,0.0500,2009
680,18323444.7068,18355396.5593,31951.8525,3000,8.5683,10.6506,-0.0500,2008
681,18355396.5593,18383172.7091,27776.1499,3000,8.1358,9.2587,0.0500,2009
682,18383172.7091,18411883.3033,28710.5941,3000,8.5426,9.5702,0.0449,2009
683,18411883.3033,18444613.9153,32730.6120,3000,8.9262,10.9102,-0.0500,2009
684,18444613.9153,18474366.8902,29752.9749,3000,8.4842,9.9177,0.0083,2008
685,18474366.8902,18505710.7245,31343.8342,3000,8.5503,10.4479,-0.0429,2009
686,18505710.7245,18535171.1455,29460.4211,3000,8.1838,9.8201,0.0183,2009
687,18535171.1455,18564577.8044,29406.6589,3000,8.3336,9.8022,0.0202,2009
688,18564577.8044,18595225.7135,30647.9091,3000,8.5018,10.2160,-0.0211,2009
689,18595225.7135,18627085.7482,31860.0347,3000,8.3179,10.6200,-0.0500,2010
690,18627085.7482,18654715.5329,27629.7848,3000,7.9060,9.2099,0.0500,2009
691,18654715.5329,18685225.6723,30510.1394,3000,8.3013,10.1700,-0.0167,2009
692,18685225.6723,18714620.3238,29394.6515,3000,8.1625,9.7982,0.0206,2009
